Lookup Term,Start,End,Company
#ADA,2013-01-01,2013-03-01,ADA#01
#ADA,2013-03-01,2013-05-01,ADA#02
#ADA,2013-05-01,2013-07-01,ADA#03
#ADA,2013-07-01,2013-09-01,ADA#04
#ADA,2013-09-01,2013-11-01,ADA#05
#ADA,2013-11-01,2013-12-31,ADA#06
#ADA,2014-01-01,2014-03-01,ADA#07
#ADA,2014-03-01,2014-05-01,ADA#08
#ADA,2014-05-01,2014-07-01,ADA#09
#ADA,2014-07-01,2014-09-01,ADA#10
#ADA,2014-09-01,2014-11-01,ADA#11
#ADA,2014-11-01,2014-12-31,ADA#12
#ADA,2015-01-01,2015-03-01,ADA#13
#ADA,2015-03-01,2015-05-01,ADA#14
#ADA,2015-05-01,2015-07-01,ADA#15
#ADA,2015-07-01,2015-09-01,ADA#16
#ADA,2015-09-01,2015-11-01,ADA#17
#ADA,2015-11-01,2015-12-31,ADA#18
#ADA,2016-01-01,2016-03-01,ADA#19
#ADA,2016-03-01,2016-05-01,ADA#20
#ADA,2016-05-01,2016-07-01,ADA#21
#ADA,2016-07-01,2016-09-01,ADA#22
#ADA,2016-09-01,2016-11-01,ADA#23
#ADA,2016-11-01,2016-12-31,ADA#24
#ADA,2017-01-01,2017-03-01,ADA#25
#ADA,2017-03-01,2017-05-01,ADA#26
#ADA,2017-05-01,2017-07-01,ADA#27
#ADA,2017-07-01,2017-09-01,ADA#28
#ADA,2017-09-01,2017-11-01,ADA#29
#ADA,2017-11-01,2017-12-31,ADA#30
#ADA,2018-01-01,2018-02-01,ADA#31
#ADA,2018-02-01,2018-03-01,ADA#32
#ADA,2018-03-01,2018-04-01,ADA#33
#ADA,2018-04-01,2018-05-01,ADA#34
#ADA,2018-05-01,2018-06-01,ADA#35
#ADA,2018-06-01,2018-07-01,ADA#36
#ADA,2018-07-01,2018-08-01,ADA#37
#ADA,2018-08-01,2018-09-01,ADA#38
#ADA,2018-09-01,2018-10-01,ADA#39
#ADA,2018-10-01,2018-11-01,ADA#40
#ADA,2018-11-01,2018-11-07,ADA#41
#ADA,2018-11-07,2018-11-14,ADA#42
