pos_words,neg_words
currencies,sdice
exchange,smpoe
bitcoin,S.Dice
trading,S.MPOE
investment,=
forex,[^\x00-\x7F]+
assets,bitcoinde
markets,faucet
monetary,bitcoinprice
commodity,arb opps
crypto,spinner
litecoin,sdice
dogecoin,sdice
sarabjit,sdice
biosphere,sdice
gregorian,sdice
malign,sdice
bitcoins,sdice
endoftheworld,sdice
gox,sdice
currency,sdice
btc,sdice
paypal,sdice
mining,sdice
encrypted,sdice
algorithm,sdice
ssl,sdice
authentication,sdice
cryptography,sdice
metadata,sdice
spoofing,sdice
thwart,sdice
icloud,sdice
krugman,sdice
top-down,sdice
economists,sdice
meritocracy,sdice
populism,sdice
marxist,sdice
populist,sdice
stimulus,sdice
bureaucratic,sdice
free-market,sdice
strategist,sdice
executives,sdice
execs,sdice
curators,sdice
marketers,sdice
ceos,sdice
lobbyists,sdice
creatives,sdice
businessmen,sdice
innovators,sdice
commodities,sdice
equities,sdice
economies,sdice
stocks,sdice
emerging,sdice
unregulated,sdice
centralized,sdice
multi-platform,sdice
peer-to-peer,sdice
regulating,sdice
patterning,sdice
immediacy,sdice
participatory,sdice
city-wide,sdice
scalable,sdice
algorithms,sdice
predictive,sdice
optimization,sdice
redesign,sdice
automation,sdice
encryption,sdice
methodology,sdice
usability,sdice
analytics,sdice
mapping,sdice
crowdfunding,sdice
kickstarter,sdice
storytelling,sdice
startup,sdice
indiegogo,sdice
gamification,sdice
opendata,sdice
innovation,sdice
crowdsource,sdice
foundation,sdice
societies,sdice
established,sdice
constructing,sdice
fundamentals,sdice
institutions,sdice
components,sdice
structures,sdice
principles,sdice
built,sdice
crowd-sourced,sdice
data-driven,sdice
crowdsourcing,sdice
real-time,sdice
sourced,sdice
first-ever,sdice
taxpayer-funded,sdice
longform,sdice
metals,sdice
traders,sdice
investing,sdice
futures,sdice
speculating,sdice
gloat,sdice
speculations,sdice
fretting,sdice
accumulate,sdice
criticise,sdice
furthermore,sdice
discredit,sdice
bleating,sdice
onlookers,sdice
trade,sdice
market,sdice
swap,sdice
value,sdice
stock,sdice
offer,sdice
trades,sdice
analysis,sdice
investments,sdice
equity,sdice
investors,sdice
property,sdice
finance,sdice
financial,sdice
banking,sdice
fund,sdice
asset,sdice
economy,sdice
economic,sdice
easing,sdice
liquidity,sdice
policy,sdice
inflation,sdice
deposits,sdice
invest,sdice
strategies,sdice
estate,sdice
strategy,sdice
tax,sdice
debts,sdice
taxes,sdice
loans,sdice
consolidation,sdice
unemployment,sdice
loan,sdice
mortgage,sdice
recession,sdice
bank,sdice
corporate,sdice
business,sdice
consumer,sdice
payment,sdice
retail,sdice
knowledge,sdice
prosperity,sdice
poverty,sdice
redistribution,sdice
success,sdice
income,sdice
abundance,sdice
speculate,sdice
lamenting,sdice
gloating,sdice
cribbing,sdice
justifying,sdice
spouting,sdice
harping,sdice
waffling,sdice
slating,sdice
crude,sdice
prices,sdice
price,sdice
limited,sdice
order,sdice
sell,sdice
import,sdice
earnings,sdice
gains,sdice
posts,sdice
profits,sdice
’s,sdice
reveals,sdice
profit,sdice
eur,sdice
usd,sdice
jpy,sdice
aud,sdice
форекс,sdice
fx,sdice
shares,sdice
nasdaq,sdice
trader,sdice
brokers,sdice
hedge,sdice
traded,sdice
bearish,sdice
volatility,sdice
divergence,sdice
technicals,sdice
macd,sdice
stochastic,sdice
bullish,sdice
uptrend,sdice
engulfing,sdice
intraday,sdice
eurusd,sdice
usdjpy,sdice
